agent_id,day,stress,usage,peer_influence,persona,intervention_active
29,1,52.99211482489836,452.3134427014077,50.0,Heavy User,False
30,1,15.654324793160233,58.707088009258584,25.0,Minimalist,False
31,1,77.22727896095462,667.7619267540082,54.166666666666664,Digital Addict,False
32,1,54.02466445854839,425.78459131198326,50.0,Heavy User,False
33,1,78.48531594507004,709.7809047134299,80.0,Digital Addict,False
34,1,32.192360033297625,133.0330981421955,56.25,Moderate User,False
35,1,61.860032523614635,469.5735048343332,81.25,Heavy User,False
36,1,52.799625675315426,331.71084861736625,46.875,Heavy User,False
37,1,21.30236639539808,97.23132209616826,66.66666666666667,Moderate User,False
38,1,55.96998612579997,473.7065478044645,64.28571428571429,Heavy User,False
39,1,18.281894034034142,74.67579937827749,41.666666666666664,Minimalist,False
40,1,37.15947646039343,218.16646119445986,50.0,Active User,False
41,1,85.91271324111338,620.6598256684101,62.5,Digital Addict,False
42,1,13.150070897308208,63.25370022922804,20.0,Minimalist,False
43,1,47.312540872573805,258.0410059282194,56.25,Active User,False
44,1,36.63867926276031,198.8623841429961,58.333333333333336,Active User,False
45,1,40.27523475371751,240.4815140791166,45.0,Active User,False
46,1,59.40477341733306,394.0019348362594,68.75,Heavy User,False
47,1,25.933425852684568,160.54491840436071,37.5,Moderate User,False
48,1,43.121479095917394,298.76246141850106,40.625,Heavy User,False
49,1,4.602095048373849,57.163319455514696,0.0,Minimalist,False
50,1,55.50362402387635,411.18334706449394,45.833333333333336,Heavy User,False
51,1,34.62578235489777,213.95742361235278,45.833333333333336,Active User,False
52,1,19.191995726346523,122.24368693135098,25.0,Moderate User,False
53,1,49.24010532494256,309.12115802776,81.25,Heavy User,False
54,1,34.97493808838885,220.90761884850141,61.111111111111114,Heavy User,False
55,1,13.039773026295599,43.81036769712388,25.0,Minimalist,False
56,1,15.432057741138298,73.21092262560173,36.111111111111114,Minimalist,False
57,1,34.464911654465105,199.6475422730421,50.0,Active User,False
58,1,18.295344747026196,128.75937296442095,25.0,Moderate User,False
59,1,58.56862698988617,497.4759806632174,47.5,Digital Addict,False
60,1,16.01518775488701,66.39879697154997,37.5,Minimalist,False
61,1,54.32961584095937,307.424856157482,58.333333333333336,Active User,False
62,1,27.260301235905985,73.71989145327414,50.0,Minimalist,False
63,1,3.5868695592690747,47.79623942072283,0.0,Minimalist,False
64,1,12.920845189330546,68.41843102259124,20.0,Minimalist,False
65,1,17.63489517040192,107.36372635218005,41.666666666666664,Moderate User,False
66,1,38.948314271836594,243.29345267923964,47.72727272727273,Active User,False
67,1,29.63703169642386,212.14830663624159,56.25,Active User,False
68,1,48.93180695400573,426.57089489139787,33.333333333333336,Heavy User,False
69,1,10.55868350959265,55.90857415410437,39.285714285714285,Minimalist,False
70,1,9.407783232105068,52.33467566127681,25.0,Minimalist,False
71,1,25.142795192725394,181.9283889422977,40.625,Moderate User,False
72,1,92.03755862046003,703.9349871563787,90.0,Digital Addict,False
73,1,5.7475957323423605,38.930191335533436,15.0,Minimalist,False
74,1,44.218816830494966,344.63719960663286,71.42857142857143,Heavy User,False
75,1,15.400869509840671,78.30590885465895,25.0,Moderate User,False
76,1,29.841492356871097,178.7179751201156,55.0,Active User,False
77,1,65.66930055673345,407.9484862032597,75.0,Heavy User,False
78,1,24.447947571512454,154.43383061954492,32.5,Moderate User,False
79,1,6.860208490916483,54.879010485749916,6.25,Minimalist,False
80,1,52.208866518609305,326.5655197438897,67.85714285714286,Active User,False
81,1,21.21623123426872,137.80104763491016,37.5,Moderate User,False
82,1,66.7745904337129,420.5699657945727,62.5,Heavy User,False
83,1,80.45192161404799,492.53187275897176,75.0,Digital Addict,False
84,1,69.9587665944641,580.0138148503281,53.57142857142857,Heavy User,False
85,1,11.704373143518144,33.798745274351134,29.545454545454547,Minimalist,False
86,1,34.699121565888966,171.54215125686443,41.666666666666664,Moderate User,False
87,1,40.30561831520008,296.739069354711,53.125,Heavy User,False
88,1,12.480784933748584,79.62209079248736,15.0,Moderate User,False
89,1,38.520019255262106,276.1803517707506,54.166666666666664,Active User,False
90,1,56.354329791137204,295.14171710138135,70.0,Heavy User,False
91,1,38.379332984641366,241.122710721638,36.111111111111114,Moderate User,False
92,1,62.54628970084471,542.2649111843651,25.0,Digital Addict,False
93,1,19.105315420410488,76.44831343281638,35.0,Minimalist,False
94,1,21.20236043860039,134.23532473098965,25.0,Moderate User,False
95,1,60.802481821598526,360.16645565894,65.0,Heavy User,False
96,1,24.515932276730915,63.422425772932755,50.0,Minimalist,False
97,1,61.805055416242205,457.25522745822167,70.0,Heavy User,False
98,1,14.265151587308507,32.32123827781351,75.0,Minimalist,False
99,1,37.87254908315767,247.25248103029773,40.0,Active User,False
0,2,17.480277556281358,111.57920913077668,29.561571411076248,Moderate User,False
1,2,27.690769019460696,200.50879758575593,41.97668047786819,Active User,False
2,2,30.230496439520966,242.15538276829864,37.39882463804061,Active User,False
3,2,16.19421570167779,74.21999495182766,21.736592999949934,Minimalist,False
4,2,66.53126672906309,592.6915610607316,34.89905370886616,Digital Addict,False
5,2,20.277076261726336,73.20940399262845,33.56472452891057,Minimalist,False
6,2,16.933064155029328,110.9654205927008,36.68987726275909,Moderate User,False
7,2,65.41976035526326,570.5554144657239,57.26039649785802,Heavy User,False
8,2,16.027570896830937,104.1740985456778,26.82847860850756,Moderate User,False
9,2,49.10644184128337,395.45042860071567,44.00573710495686,Digital Addict,False
10,2,35.50038633906023,136.78986981239433,52.49570456845136,Moderate User,False
11,2,32.04055524493179,214.33472472083662,34.03502496222725,Active User,False
12,2,20.451725108257225,67.08918206794404,41.485645855707176,Minimalist,False
13,2,12.54126803294695,86.57490143853995,20.65092141592402,Moderate User,False
14,2,12.965952556069224,75.52221195664488,17.404635632521256,Minimalist,False
15,2,56.822858036220396,431.28603054534216,47.677583632822824,Digital Addict,False
16,2,11.645221194654123,60.65223813189094,31.89342313195914,Minimalist,False
17,2,34.3453796905367,272.87914275114485,31.902987467921122,Active User,False
18,2,54.657909875164684,349.27024013410164,46.56513284169959,Heavy User,False
19,2,45.740508567517935,327.5437197453044,60.28051427607573,Digital Addict,False
20,2,48.86247652120398,404.0278291607299,46.55189497075891,Heavy User,False
21,2,74.60559683539181,717.0673728286125,43.85923388929656,Digital Addict,False
22,2,30.409383098756923,172.08562269134856,36.46251082833253,Moderate User,False
23,2,56.09739582893287,409.43248850319287,54.80442187041927,Heavy User,False
24,2,13.402865448439735,80.59555868105794,18.324144487703506,Moderate User,False
25,2,13.571548485454144,90.89592962579601,13.83515211519916,Minimalist,False
26,2,34.130396568200176,206.01492040727473,42.112553074259836,Active User,False
27,2,48.43835606469262,412.4951671858979,54.06721505882617,Digital Addict,False
28,2,15.205239546585723,73.90769261984885,32.5532741165015,Minimalist,False
29,2,59.17217898490088,536.3087582706731,37.03359640688264,Heavy User,False
30,2,15.499223854183958,56.375925952939966,25.180407379540995,Minimalist,False
31,2,74.45502883773439,787.255911052065,45.98127998351847,Digital Addict,False
32,2,60.513117461731234,513.6858505727762,40.87510612287296,Heavy User,False
33,2,71.09014838596234,766.078887231782,49.94016154708326,Digital Addict,False
34,2,27.08799110086021,156.64572529924922,35.02607921805918,Moderate User,False
35,2,60.60637564104865,492.9367756158611,62.63916328716588,Heavy User,False
36,2,54.59391247384966,370.507589184403,42.19714947230119,Heavy User,False
37,2,14.568243470586317,80.7510779881665,39.21251099012043,Moderate User,False
38,2,58.07315498427949,519.915518117884,47.899198775999075,Heavy User,False
39,2,17.97809304072414,82.98811141575612,37.70304394103776,Minimalist,False
40,2,28.53111390550624,162.14266541354024,40.69205644452744,Active User,False
41,2,76.92244181959781,747.9376267574115,41.583565551165776,Digital Addict,False
42,2,13.64152593599055,59.44929106766226,22.171603911081295,Minimalist,False
43,2,40.96654171297895,257.3433116688148,40.74908774443117,Active User,False
44,2,35.28488389046786,250.08383128397276,37.17651276291882,Active User,False
45,2,39.50627576386415,258.5978910146536,38.146575081086574,Active User,False
46,2,59.4437754142113,443.25812217716964,52.686004631692256,Heavy User,False
47,2,24.285488723376755,150.93120093809026,35.19442921758888,Moderate User,False
48,2,36.9775691448605,261.2804321833634,33.785346740602215,Heavy User,False
49,2,8.100453190937253,71.70309919676455,12.635726248382293,Minimalist,False
50,2,61.52043644825931,492.626937039924,39.491467337243236,Heavy User,False
51,2,26.603577655063866,167.47769334833333,34.94116710987637,Active User,False
52,2,18.394148519492994,117.98195894318002,23.86711481098058,Moderate User,False
53,2,45.76344843131973,335.2919136688893,55.33386584034369,Heavy User,False
54,2,27.795998131864845,170.29854420985097,51.64662265523973,Heavy User,False
55,2,10.861096285409426,34.22804840132626,21.911217342807028,Minimalist,False
56,2,15.297720881364476,86.31789678674221,30.26322675669445,Minimalist,False
57,2,25.80842704800743,160.4609176629491,34.705692323614834,Active User,False
58,2,19.16259306642776,147.6457732217784,20.98920214678388,Moderate User,False
59,2,48.950559551028434,413.425905144842,41.73692202227984,Digital Addict,False
60,2,15.13459981171402,67.01449795485021,34.155936462002764,Minimalist,False
61,2,43.95376910317763,289.24612683388557,38.05096930419966,Active User,False
62,2,23.889355307218988,97.34871508698369,36.288211009995905,Minimalist,False
63,2,7.284704105421455,58.55993486647939,14.310125306447025,Minimalist,False
64,2,13.326467103788074,69.40611578528365,20.85669092220937,Minimalist,False
65,2,15.643450113853824,105.30940389700046,32.554608426073294,Moderate User,False
66,2,37.01351746030835,258.42239304274466,37.04955544295563,Active User,False
67,2,28.705378825107324,220.1481169443233,45.845327789176736,Active User,False
68,2,59.3636072880592,533.1511569381282,32.292647139251805,Heavy User,False
69,2,10.128880869867324,68.69770056950519,28.184994854656743,Minimalist,False
70,2,10.361734270240603,66.93822945707326,22.622198658669994,Minimalist,False
71,2,21.50985745763871,160.2672370941005,33.16299117002511,Moderate User,False
72,2,80.36000389762353,856.4394355817636,57.98842811866549,Digital Addict,False
73,2,5.855004939388185,33.75956927145397,18.47251858700875,Minimalist,False
74,2,38.07052155201038,299.6660366122278,60.69970341092213,Heavy User,False
75,2,16.410456553109494,84.56320001119806,26.138217914414195,Moderate User,False
76,2,27.981785781524447,193.8692241634157,40.36520150067893,Active User,False
77,2,62.95322610742621,436.72450690815043,58.80644585770264,Heavy User,False
78,2,18.718729406849224,107.59016228602276,29.0818262328949,Moderate User,False
79,2,11.349687738210703,53.02698429901699,19.032351198007824,Minimalist,False
80,2,49.060481741058894,347.3725159337174,50.36329321025005,Active User,False
81,2,22.912630914043785,170.56189964842383,30.44533217922316,Moderate User,False
82,2,65.35755090823882,468.471448154449,47.429758093238,Heavy User,False
83,2,67.09165372794111,392.76127898275445,67.1905136547935,Digital Addict,False
84,2,69.36279066038516,735.6484784773285,43.012713925296694,Heavy User,False
85,2,10.974552733353615,41.58530343096882,24.708228757254222,Minimalist,False
86,2,29.50914219728795,128.16078218975213,39.77107269294044,Moderate User,False
87,2,30.502970646247274,214.16217100078148,46.154211211123965,Heavy User,False
88,2,12.680002905983363,67.57756172854215,18.637362353279833,Moderate User,False
89,2,32.45014190951506,241.81344593414266,41.98421390566002,Active User,False
90,2,46.324116971925875,260.604166437048,53.3401930486059,Heavy User,False
91,2,41.94170772564517,310.92616221332605,27.907150393514122,Moderate User,False
92,2,72.34625618618703,658.6205035535174,35.9704959038673,Digital Addict,False
93,2,16.7162174582964,70.63465250558244,29.884813009669774,Minimalist,False
94,2,21.939871245468535,143.54231002095997,24.462234304218594,Moderate User,False
95,2,54.97771760577779,364.7071531959047,49.288784935205484,Heavy User,False
96,2,17.782119457718135,54.81672619903887,34.703249095880594,Minimalist,False
97,2,55.80401886957674,440.0933252725401,52.16795159847006,Heavy User,False
98,2,11.818669805475064,31.53469329667435,59.883352629305634,Minimalist,False
99,2,32.24076967461349,222.11214939130775,31.293757033747575,Active User,False
0,3,19.285753375275355,136.1335629481731,26.867691681697465,Moderate User,False
1,3,28.008938335820524,210.56992231048378,38.69923331293952,Active User,False
2,3,28.105353971360366,226.11618780840544,34.60573281520251,Active User,False
3,3,15.434529193815324,70.28025068869961,20.907079511035363,Minimalist,False
4,3,66.09776283433344,604.8521915132163,29.929162831492413,Digital Addict,False
