scenario,day,stress_mean,stress_std,usage_mean,usage_std,burnout_mean,burnout_std
Intervention,8,33.99165628492915,0.7596153967338776,252.03182377211064,5.821142486525968,0.36666666666666664,0.49013251785356104
Intervention,9,34.07963623777633,0.847214167519557,253.55414269558034,6.473884298298607,0.4666666666666667,0.571346463723366
Intervention,10,34.21452744169704,0.8173349382666484,255.2669418580902,5.802514816726027,0.5333333333333333,0.5074162634049248
Intervention,11,33.021034531261755,0.7886927171083781,251.63411652144288,6.088399990723418,0.5666666666666667,0.5040069329937309
Intervention,12,32.69430885477701,0.7422154980791518,250.96731065612195,5.7288727649130875,0.7333333333333333,0.44977644510880355
Intervention,13,32.66570433670688,0.6902277446464097,251.63219768616776,5.278385533749919,0.7666666666666667,0.43018306715207627
Intervention,14,32.85708410366712,0.7391696966054925,253.83528583687342,5.867215922397365,0.8333333333333334,0.3790490217894517
Intervention,15,33.03696030024631,0.7747044918804217,255.41213888850535,6.008850486361453,0.8,0.4068381021724862
Intervention,16,33.33273407950717,0.8273386115028671,258.21198462940805,6.538755174561298,0.8,0.4068381021724863
Intervention,17,33.56340259546394,0.8421542258358921,260.00716884243167,6.590366279436308,0.9,0.30512857662936466
Intervention,18,33.90582230390577,0.8233845674577775,263.0654232175953,6.372811529752982,0.9333333333333333,0.2537081317024624
Intervention,19,34.0949953449888,0.8672455591488619,264.2971624248385,6.910119326456494,0.9,0.30512857662936466
Intervention,20,34.34290693206665,0.9070578223970645,266.49023726785583,7.154024553554074,0.9333333333333333,0.2537081317024624
Intervention,21,34.566022621501375,0.8954441821280469,268.3061139209337,6.982013417845869,0.8666666666666667,0.34574590364176044
Intervention,22,34.73057937797558,0.954781985422871,269.4906894954502,7.608379829263983,0.8666666666666667,0.3457459036417604
Intervention,23,34.92095334930325,0.9702410512250483,271.1167115149436,7.604189985011419,0.8,0.4068381021724863
Intervention,24,35.034598071457886,0.9643445499520807,271.8026275610397,7.567600880941781,0.8666666666666667,0.3457459036417604
Intervention,25,35.13391799850415,0.8785057881502759,272.61935593908476,6.692949727842024,0.8666666666666667,0.3457459036417604
Intervention,26,35.22772833745152,0.8719667066021275,273.3589242628903,6.933920392189494,0.9333333333333333,0.2537081317024624
Intervention,27,35.39421406477619,0.854128398849968,274.8698970187583,6.67633788818218,0.9333333333333333,0.2537081317024624
Intervention,28,35.449258625863756,0.8674812386807846,275.0544688980723,6.869984251205049,0.9666666666666667,0.18257418583505536
Intervention,29,35.48346446341381,0.8773032554249921,275.254837907931,6.9731380881082625,0.9333333333333333,0.2537081317024624
Intervention,30,35.54515262064456,0.8281468332256414,275.86427933625305,6.426663472356972,0.9666666666666667,0.18257418583505536
