run_id,seed,scenario,final_mean_stress,final_max_stress,final_mean_usage,burnout_count_day_30,peak_burnout_count,peak_stress,total_stress_auc
10,110,Baseline,33.84763497338989,77.7481726385867,275.15101157469195,0,19,100.0,101655.90055482488
10,110,Intervention,31.19758573418718,77.72894712962653,260.3927186446848,0,19,100.0,96824.96015514263
11,111,Baseline,35.70691235866791,79.36203339323409,292.4290297092963,0,19,100.0,106948.45268362232
11,111,Intervention,33.406638936203095,79.34093335337407,279.8609395319394,0,19,100.0,102248.10877421206
12,112,Baseline,34.41990686141507,79.43896437608547,281.31780269328993,0,19,100.0,104660.84156437338
12,112,Intervention,32.18037423880425,79.41837025654665,269.1999215374176,0,19,100.0,100561.87083752672
13,113,Baseline,35.754931202008585,75.8607195393864,292.96508585525453,0,19,100.0,106605.57779565697
13,113,Intervention,33.580359794505384,75.83940402169002,280.93658441624126,0,19,100.0,102761.5623978984
14,114,Baseline,36.657167746368366,80.69887679276397,298.8954074417064,1,19,100.0,108528.72035714447
14,114,Intervention,34.609703118467905,80.67802076452662,287.80649069015567,1,19,100.0,104282.64690056563
15,115,Baseline,34.29456275414141,79.20635909945912,281.0716716737159,0,19,100.0,103157.7004462195
15,115,Intervention,32.08877822758714,79.18678033634026,269.1047600143378,0,19,100.0,99055.48343007638
16,116,Baseline,35.14097065212356,77.51486945382389,286.4828242265986,0,19,100.0,104109.26474233296
16,116,Intervention,32.67978132715556,77.49390540289316,272.9499239876266,0,19,100.0,99845.60745473728
17,117,Baseline,35.74600913392225,79.98297523548408,289.1312684850562,0,19,100.0,106838.22573761462
17,117,Intervention,32.94513232121716,79.96475347062764,273.7730888985118,0,19,100.0,101797.18957194123
18,118,Baseline,36.619532656234526,80.15769944223857,299.9053052573906,1,19,100.0,109098.29959814774
18,118,Intervention,34.44145183927093,80.13647303886157,287.8494505268452,1,19,100.0,104872.54304997293
19,119,Baseline,35.645487325683376,79.69812641474692,292.17944887649577,0,19,100.0,105397.42557065365
19,119,Intervention,33.7806081436696,79.67801083129966,282.2832734820937,0,19,100.0,101641.58400410399
20,120,Baseline,35.43959137171973,80.0162843395407,290.8623719984976,1,19,100.0,104377.60138151105
20,120,Intervention,33.26959256809634,79.99588836085802,279.3000020386997,0,19,100.0,100657.59718637145
21,121,Baseline,35.93635599385826,79.47717084622822,293.84621701675394,0,19,100.0,105165.29387282877
21,121,Intervention,33.331407782230315,79.45703228748687,279.5936603103889,0,19,100.0,100576.0939170005
22,122,Baseline,35.911289242906484,76.93712510164346,291.8436911860923,0,19,100.0,106093.31265251894
22,122,Intervention,33.14920535687189,76.91624138398521,276.9738086165404,0,19,100.0,101719.61989101973
23,123,Baseline,35.1036330835943,79.20712867850709,286.3652085009187,0,19,100.0,105196.58903442379
23,123,Intervention,32.80106500679934,79.18748047413474,273.5203718932758,0,19,100.0,100789.85869127128
24,124,Baseline,35.619662634427385,79.4829651529995,290.7531480037978,0,19,100.0,106896.80545316148
24,124,Intervention,32.94356455805373,79.46359567940117,276.0436277134847,0,19,100.0,102470.07741231156
25,125,Baseline,34.6031195006298,70.76574183214069,283.7013806272019,0,19,100.0,103499.50564498096
25,125,Intervention,32.57537981819071,70.54438215217043,272.34783861146593,0,19,100.0,99766.4206177067
26,126,Baseline,34.912924196818395,79.57856050678282,284.87441474990834,0,19,100.0,105881.71635438406
26,126,Intervention,32.720499595729855,79.55754364457793,273.51535729127465,0,19,100.0,100654.06239698215
27,127,Baseline,35.21167317532936,80.31608906626755,287.65746363205517,1,19,100.0,105870.67713721725
27,127,Intervention,32.96323947257851,80.29564817744449,274.995714686862,1,19,100.0,101732.8134350889
28,128,Baseline,34.0049495748502,79.4198172918758,279.4965420821941,0,19,100.0,103071.74117933575
28,128,Intervention,32.171995066461186,79.39901244063518,269.793588002572,0,19,100.0,99272.14190498485
29,129,Baseline,34.97947540343381,79.89249864312312,285.3427584549814,0,19,100.0,106102.44511115582
29,129,Intervention,32.84672241072105,79.8727299566208,273.4141962851101,0,19,100.0,102080.72471773914
